GRUPOS DE EDAD;TOTAL - TOTAL;TOTAL - HOMBRES;TOTAL - MUJERES;LESION CORPORAL - TOTAL;LESION CORPORAL - HOMBRES;LESION CORPORAL - MUJERES;HOMICIDIO - TOTAL;HOMICIDIO - HOMBRES;HOMICIDIO - MUJERES
    TOTAL;5.493;4.291;1.202;4.513;3.441;1.072;980;850;130
        De 0 a 13 anos;306.0;193.0;113.0;271.0;168.0;103.0;35;25;10
        De 14 a 17 anos;449.0;337.0;112.0;392.0;289.0;103.0;57;48;9
        De 18 a 29 anos;2.143;1.699;444.0;1.819;1.415;404.0;324;284;40
        De 30 a 39 anos;940.0;758.0;182.0;771.0;609.0;162.0;169;149;20
        De 40 a 49 anos;633.0;495.0;138.0;504.0;380.0;124.0;129;115;14
        De 50 a 59 anos;361.0;293.0;68.0;262.0;204.0;58.0;99;89;10
        De 60 anos y mas;308.0;245.0;63.0;202.0;155.0;47.0;106;90;16
        Ignorado;353.0;271.0;82.0;292.0;221.0;71.0;61;50;11
